,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,state
86,86,0.712115447328185,2023-04-08 13:13:14.059370,2023-04-08 13:13:14.865876,0 days 00:00:00.806506,0.2989389407690441,7.296233084950789,0.15500506646102255,rbf,COMPLETE
87,87,0.6935740314832265,2023-04-08 13:13:14.868386,2023-04-08 13:13:15.591006,0 days 00:00:00.722620,0.5430152688759181,6.206236633652693,0.01570147997425575,poly,COMPLETE
88,88,0.7211590874335304,2023-04-08 13:13:15.593016,2023-04-08 13:13:16.318635,0 days 00:00:00.725619,0.18637625721423956,7.646013790491881,0.11340658659767255,rbf,COMPLETE
89,89,0.7425358250102407,2023-04-08 13:13:16.320645,2023-04-08 13:13:16.855795,0 days 00:00:00.535150,0.2815862833742006,5.376183232887888,0.05703824973480143,sigmoid,COMPLETE
90,90,0.7391652281205283,2023-04-08 13:13:16.857805,2023-04-08 13:13:17.560332,0 days 00:00:00.702527,0.318326253891844,5.423251928430296,0.057962933183378036,rbf,COMPLETE
91,91,0.7316529316352774,2023-04-08 13:13:17.562336,2023-04-08 13:13:18.249764,0 days 00:00:00.687428,0.3789733716949857,5.510319991314208,0.04647825016749869,rbf,COMPLETE
92,92,0.7483092926387952,2023-04-08 13:13:18.251262,2023-04-08 13:13:18.922117,0 days 00:00:00.670855,0.2718956974493596,5.101174680770375,0.07159857226419908,rbf,COMPLETE
93,93,0.7238966496656841,2023-04-08 13:13:18.924127,2023-04-08 13:13:19.591455,0 days 00:00:00.667328,0.22392621563740556,4.678983897777775,0.05957610528260635,rbf,COMPLETE
94,94,0.7187919286972275,2023-04-08 13:13:19.593464,2023-04-08 13:13:20.224109,0 days 00:00:00.630645,0.3210655525584631,3.8001128736534713,0.0356884278704187,rbf,COMPLETE
95,95,0.72117009655271,2023-04-08 13:13:20.225602,2023-04-08 13:13:20.875859,0 days 00:00:00.650257,0.4911731958958063,5.107295230759897,0.11231628865783316,rbf,COMPLETE
96,96,0.7360010438967215,2023-04-08 13:13:20.877366,2023-04-08 13:13:21.543185,0 days 00:00:00.665819,0.873223733338805,5.425288234726659,0.020678718068880216,rbf,COMPLETE
97,97,0.7320112482619112,2023-04-08 13:13:21.544692,2023-04-08 13:13:22.332102,0 days 00:00:00.787410,0.11376850879336128,6.092963949212825,0.19100370243854423,rbf,COMPLETE
98,98,0.7354195442671336,2023-04-08 13:13:22.333610,2023-04-08 13:13:23.011006,0 days 00:00:00.677396,0.2668312475228935,4.357120198446783,0.06827461605787492,rbf,COMPLETE
99,99,0.7019499109037485,2023-04-08 13:13:23.013005,2023-04-08 13:13:23.773809,0 days 00:00:00.760804,0.07397446005566144,6.5268629070949675,0.10229122526606427,rbf,COMPLETE
