,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
66,66,0.7421608285160582,2023-04-10 20:27:15.935536,2023-04-10 20:27:41.851645,0 days 00:00:25.916109,0.0009510496387970256,dart,0.7030535105195425,0.26599164343102216,3.247434139831496e-08,depthwise,0.0004836956863607086,2,6,tree,0.011459505051216415,weighted,0.0018328160112677833,0.3169580697085935,COMPLETE
67,67,0.7277339111301273,2023-04-10 20:27:41.854646,2023-04-10 20:28:07.485733,0 days 00:00:25.631087,0.0004023990461323,dart,0.5954984294180903,0.019183302443452403,2.1820950648453644e-08,depthwise,0.05317533998964151,1,3,forest,0.00198249143750453,weighted,0.0037504439094703987,0.3606907950930933,COMPLETE
68,68,0.7414221059456789,2023-04-10 20:28:07.488733,2023-04-10 20:28:35.020974,0 days 00:00:27.532241,0.00010125801321046825,dart,0.6363258870365258,0.11786322358461232,0.00016791561557612808,depthwise,0.009689638153436693,2,4,tree,0.00022316383808997843,weighted,0.011053981993690072,0.38291603055974716,COMPLETE
69,69,0.7307540734559541,2023-04-10 20:28:35.023973,2023-04-10 20:29:01.876159,0 days 00:00:26.852186,0.0037547281846271935,dart,0.7393388719826364,0.04250148500418461,0.0003262742927823055,lossguide,0.03220241314455868,3,7,forest,0.00044229183635921326,weighted,0.0011686806597228162,0.44832633328694954,COMPLETE
70,70,0.7091878816051861,2023-04-10 20:29:01.879159,2023-04-10 20:29:03.376281,0 days 00:00:01.497122,0.001836742495375647,gbtree,0.5107446010918874,0.0026307873022097844,1.9013652487494615e-08,depthwise,0.003556629572815165,1,8,,,,,0.32887365774480354,COMPLETE
71,71,0.7476520800894979,2023-04-10 20:29:03.379282,2023-04-10 20:29:32.158624,0 days 00:00:28.779342,0.0013141533600171096,dart,0.4614252327896849,0.4831366645661121,9.58074364484162e-08,depthwise,0.0018148775480267463,2,5,tree,0.04290032394534354,weighted,0.022878109224994968,0.42616665092254885,COMPLETE
72,72,0.7143798199215665,2023-04-10 20:29:32.161624,2023-04-10 20:30:01.361002,0 days 00:00:29.199378,0.000349218396160819,dart,0.48958557256294355,0.22387844019114286,6.453204050155595e-08,depthwise,0.0072138345311368165,2,5,tree,0.017522080759721052,weighted,0.005592239927504217,0.47291717898564073,COMPLETE
73,73,0.7081828853406126,2023-04-10 20:30:01.364001,2023-04-10 20:30:16.952269,0 days 00:00:15.588268,0.005626912750320942,dart,0.4281726391371286,0.09849267716391051,2.0603660148740175e-08,depthwise,0.0038087803926210063,1,5,tree,0.5323180734137837,uniform,0.05624245049712842,0.40090982713502643,COMPLETE
74,74,0.7459782168683253,2023-04-10 20:30:16.954270,2023-04-10 20:30:45.734613,0 days 00:00:28.780343,4.2082958929748115e-05,dart,0.5501419544758399,0.321240038040563,2.745140518808327e-08,depthwise,0.0010477804478124541,4,6,tree,0.004480909730281577,weighted,0.014113473117730792,0.45558848920924205,COMPLETE
75,75,0.6948853468232513,2023-04-10 20:30:45.737613,2023-04-10 20:31:13.305858,0 days 00:00:27.568245,0.00026347345513578487,dart,0.5218771337802426,0.6438403665514446,1.4040015489390037e-05,depthwise,0.013491326230548401,3,4,forest,0.0001443885425571172,weighted,0.002358162991876703,0.5105486470240015,COMPLETE
