,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
49,49,0.632074163596409,2023-04-11 16:54:58.536211,2023-04-11 16:55:01.382167,0 days 00:00:02.845956,5.084118664732209e-07,gbtree,0.6334106067590262,0.40953633500716385,0.0006197628705261757,depthwise,6.242667454078035e-08,2,7,,,,,0.65684774799132,COMPLETE
50,50,0.5786073179943914,2023-04-11 16:55:01.386168,2023-04-11 16:55:04.914475,0 days 00:00:03.528307,1.6938132638919043e-07,gbtree,0.6301965531023918,0.010631591694265302,0.00044340349482116395,depthwise,6.005655570007552e-08,2,7,,,,,0.6481325681296219,COMPLETE
51,51,0.6305150866756033,2023-04-11 16:55:04.918477,2023-04-11 16:55:08.398451,0 days 00:00:03.479974,8.565163788804552e-07,gbtree,0.6822184859042671,0.38852983465218494,0.0030416214457145018,depthwise,1.360620872775477e-07,3,8,,,,,0.6429541892525792,COMPLETE
52,52,0.6150053108413396,2023-04-11 16:55:08.402451,2023-04-11 16:55:11.294755,0 days 00:00:02.892304,6.639414272647283e-07,gbtree,0.688518051741505,0.37564649837434966,0.002588387914585065,depthwise,1.0433759009386828e-08,3,8,,,,,0.6600257388049514,COMPLETE
53,53,0.6129720910703509,2023-04-11 16:55:11.298756,2023-04-11 16:55:13.919590,0 days 00:00:02.620834,1.333234880975017e-06,gbtree,0.5705907896205238,0.09463535316746752,0.004687122277904147,depthwise,3.580728447709994e-07,1,7,,,,,0.623434705291086,COMPLETE
54,54,0.5992779365967522,2023-04-11 16:55:13.924592,2023-04-11 16:55:16.621426,0 days 00:00:02.696834,5.135284781476225e-07,gbtree,0.6417215231433626,0.3430619266522427,0.013810564402658536,depthwise,1.172518059620531e-07,3,6,,,,,0.7271616514829147,COMPLETE
55,55,0.6125419065994455,2023-04-11 16:55:16.624427,2023-04-11 16:55:19.097680,0 days 00:00:02.473253,2.625624747886857e-07,gbtree,0.6991120131056566,0.10049618111896691,0.0009896442331533849,depthwise,3.7828359795818984e-08,2,8,,,,,0.5896409298749755,COMPLETE
56,56,0.6034655718862246,2023-04-11 16:55:19.100682,2023-04-11 16:55:21.240444,0 days 00:00:02.139762,1.265881061005465e-07,gbtree,0.6733539623250041,0.458193606218251,0.002318076308457762,depthwise,7.194394494923951e-08,1,2,,,,,0.7118367646718872,COMPLETE
57,57,0.5970118275788899,2023-04-11 16:55:21.244445,2023-04-11 16:55:23.871285,0 days 00:00:02.626840,3.9580350404805134e-06,gbtree,0.7148955557493025,0.027558584195683793,6.132056279770577e-05,depthwise,2.1354441271969198e-07,2,7,,,,,0.7417993086777626,COMPLETE
58,58,0.6131958355580629,2023-04-11 16:55:23.874284,2023-04-11 16:55:27.085756,0 days 00:00:03.211472,1.969378382047161e-06,gbtree,0.7509042238067214,0.18343016243691124,0.0005857479657220218,depthwise,2.322161225055426e-08,3,8,,,,,0.6681059911131453,COMPLETE
59,59,0.5008333333333332,2023-04-11 16:55:27.089759,2023-04-11 16:55:29.973919,0 days 00:00:02.884160,8.257980364977122e-07,gbtree,0.7997203954952476,0.013529427753474708,0.0002243741034510411,depthwise,1.1791456508119648e-07,1,9,,,,,0.6295570319075152,COMPLETE
60,60,0.6341171942980596,2023-04-11 16:55:29.977919,2023-04-11 16:55:32.253101,0 days 00:00:02.275182,3.3016651900422063e-07,gbtree,0.6198876811255679,0.5386785589722346,0.046272970208110095,depthwise,3.54999957263869e-07,2,7,,,,,0.6856608458869888,COMPLETE
61,61,0.6113275196941254,2023-04-11 16:55:32.257102,2023-04-11 16:55:34.563285,0 days 00:00:02.306183,3.830007111280697e-07,gbtree,0.6435176683110606,0.449554167923663,0.023775406793586574,depthwise,2.975543859160569e-07,2,7,,,,,0.6920643196168073,COMPLETE
62,62,0.6112034545365874,2023-04-11 16:55:34.567287,2023-04-11 16:55:36.548444,0 days 00:00:01.981157,1.04708334233797e-07,gbtree,0.6043775416606277,0.9758049083166627,0.04450023722951001,depthwise,1.0695318273018809e-06,1,6,,,,,0.7625617967230103,COMPLETE
63,63,0.6056276992693919,2023-04-11 16:55:36.551447,2023-04-11 16:55:38.872631,0 days 00:00:02.321184,2.8154289163108695e-07,gbtree,0.710281516920447,0.07505951334465424,0.0015693620687868071,depthwise,4.1775870701063844e-07,2,7,,,,,0.6771422996053882,COMPLETE
64,64,0.6214712770093483,2023-04-11 16:55:38.876632,2023-04-11 16:55:40.917968,0 days 00:00:02.041336,9.853339466623425e-07,gbtree,0.7702327117943668,0.4924504685778283,0.003254313279381638,depthwise,4.563721884324188e-08,1,8,,,,,0.5653668977247069,COMPLETE
65,65,0.6149860796605324,2023-04-11 16:55:40.921970,2023-04-11 16:55:43.573843,0 days 00:00:02.651873,1.9079162431240333e-06,gbtree,0.771912336811914,0.17406566078652663,0.003464257931252897,depthwise,4.4897892379049356e-08,3,7,,,,,0.6132387684109348,COMPLETE
66,66,0.6174145789601916,2023-04-11 16:55:43.577844,2023-04-11 16:55:46.378067,0 days 00:00:02.800223,3.932869731403933e-06,gbtree,0.5755088380686073,0.04457400915937449,0.0007271196572697306,depthwise,8.948684285820351e-07,4,5,,,,,0.5514430738339858,COMPLETE
67,67,0.6076506082591269,2023-04-11 16:55:46.381068,2023-04-11 16:55:48.812264,0 days 00:00:02.431196,1.10551331741999e-06,gbtree,0.6665086076014775,0.5635953979147861,0.04728509257043677,depthwise,3.078695126975607e-07,2,8,,,,,0.565403726725632,COMPLETE
68,68,0.6147315110037292,2023-04-11 16:55:48.817264,2023-04-11 16:55:51.112039,0 days 00:00:02.294775,6.756089046935013e-06,gbtree,0.6207729842592293,0.2528202197789621,0.004524639229880283,depthwise,7.479832609398365e-08,1,9,,,,,0.6434716013240522,COMPLETE
69,69,0.6221048952464285,2023-04-11 16:55:51.116040,2023-04-11 16:55:53.880417,0 days 00:00:02.764377,3.441705930053753e-07,gbtree,0.8231414665107066,0.522251452949466,0.0011167702823633048,depthwise,2.0165630904630888e-08,2,7,,,,,0.6022487953416905,COMPLETE
70,70,0.6219318492667122,2023-04-11 16:55:53.884422,2023-04-11 16:55:56.434621,0 days 00:00:02.550199,4.095565913218175e-07,gbtree,0.8343749210876581,0.5316551820777904,0.0010365710926537694,depthwise,2.1995276759056686e-08,2,6,,,,,0.6034940689404861,COMPLETE
